Country,Cases,Deaths,Region
United States,11226218,251256,North America
India,8814902,129674,Asia
Brazil,5848959,165673,South America
France,1954599,44246,Europe
Russia,1925825,33186,Europe
Spain,1492608,40769,Europe
United Kingdom,1344356,51766,Europe
Argentina,1304846,35307,South America
Colombia,1191004,33829,South America
Italy,1144552,44683,Europe
Mexico,1003253,98259,North America
Peru,934899,35177,South America
Germany,788899,12619,Europe
Iran,749525,41034,Asia
South Africa,749182,20206,Africa
Poland,691118,10045,Europe
Ukraine,535857,9603,Europe
Belgium,531280,14303,Europe
Chile,529676,14777,South America
Iraq,516915,11623,Asia
Indonesia,463007,15148,Asia
Czech Republic (Czechia),458229,6058,Europe
Netherlands,442458,8443,Europe
Bangladesh,430496,6173,Asia
Turkey,411055,11418,Asia
Philippines,407838,7832,Asia
Pakistan,356904,7141,Asia
Romania,353185,8813,Europe
Saudi Arabia,352950,5641,Asia
Israel,323460,2721,Asia
Canada,291931,10891,North America
Morocco,288211,4697,Africa
Switzerland,257135,3351,Europe
Portugal,211266,3305,Europe
Nepal,208299,1215,Asia
Austria,198291,1746,Europe
Ecuador,179627,12997,South America
Sweden,177355,6164,Europe
United Arab Emirates,149135,528,Asia
Panama,145309,2867,North America
Bolivia,143181,8841,South America
Jordan,141305,1704,Asia
Hungary,140961,3097,Europe
Kuwait,136341,835,Asia
Qatar,135570,234,Asia
Dominican Republic,133225,2282,North America
Costa Rica,123223,1546,North America
Kazakhstan,120463,1899,Asia
Oman,119442,1326,Asia
Armenia,117337,1763,Asia
Japan (+Diamond Princess),115695,1893,Asia
Guatemala,114719,3920,North America
Belarus,112870,1039,Europe
Egypt,110547,6442,Africa
Lebanon,104267,806,Asia
Honduras,102555,2822,North America
Ethiopia,102321,1565,Africa
Bulgaria,97435,2091,Europe
Venezuela,96933,848,South America
Moldova,88772,2006,Europe
China,86338,4634,Asia
Slovakia,85567,510,Europe
Bahrain,84523,333,Asia
Croatia,81844,1006,Europe
Serbia,81086,989,Europe
Georgia,79678,703,Asia
Tunisia,79339,2279,Africa
Azerbaijan,73429,946,Asia
Libya,72628,995,Africa
